EventName,StartDate,EndDate,Time,Venue,Address,City,State,Zip,Category,EventType,PrizeMoney,Description,Website,Phone,Email,SourceImage,DateExtracted,TeamRopingAI
BR Diamond Spur Barrels & Poles Series - April 4,4/4/26,4/4/26,,Charles Whitlow Rodeo Arena,,Florence,AZ,,Barrel Racing,Series,$500 Added,"BR Diamond Spur Barrels & Poles Series at Charles Whitlow Rodeo Arena. 80% payback, $500 added, cash only. Barrels: Open 5D $50, Youth 3D $40, Rookie 3D $20. Poles: 4D $50. Must enter 3 of 4 jackpots to qualify for awards.",,480-788-5509,,616820032_1389658729614663_371913574969192919_n.jpg,2/1/26,NO
Dressage at Spear-Cross (Recognized Show),4/4/26,4/5/26,,Spear-Cross Equine Center of Scottsdale,28475 N. 84th Street,Scottsdale,AZ,85266,Dressage,Rated Show,,"Spring edition of the Dressage at Spear-Cross USDF/USEF recognized show. Two days of competition designed for riders seeking qualifying scores and a polished show experience at a top Scottsdale facility. Entries are accepted through Fox Village, with classes spanning multiple levels and divisions.",https://azdressage.org/event/dressage-at-spear-cross/2026-04-04/,(480) 650-9661,,,1/26/26,NO
Jillian Ziegler Memorial Race,4/4/26,4/4/26,10:45 AM,Olsen's Events,344 S Hwy 89,Chino Valley,AZ,86323,Barrel Racing,Memorial Race,,"Jillian Ziegler Memorial Race at Olsen's Events in Chino Valley. A special memorial event honoring Jillian Ziegler — A Bright Light Remembered. Hosted by Olsen's Events, a premier equine facility and arena in Northern Arizona. A meaningful day of racing and community in Jillian's honor.",,,,Screenshot_2026-03-06_at_8_26_24_AM.png,3/6/26,NO
2nd Annual TR Frost Memorial,4/4/26,4/4/26,"Books Open 8:00 AM, Close 9:00 AM SHARP",Gila County Fair Grounds,,Globe,AZ,,Team Roping,Jackpot,,"2nd Annual TR Frost Memorial at Gila County Fair Grounds in Globe. Divisions: #13.5 Slide, #11.5 w/#9.5 Inc. 4 Steer. P1D1 or D2. HCAP Up/Down. 1 sec/Number Max 6 sec. 70% Payback. Buckles 1st-5th. Silent Auction on site.",,(928) 243-0598,,621579416_10227243174898318_7391156014666979966_n.jpg,3/6/26,YES
Mile High PBR,4/10/26,4/11/26,,Findlay Toyota Center,,Prescott Valley,AZ,,Bull Riding,Professional Event,,"It's Bull Time! Mile High PBR brings the PBR Touring Pro Division to Prescott Valley for two nights of world-class bull riding action. Watch the best bull riders in the sport compete against elite bucking bulls at the Findlay Toyota Center. Sponsored by Yavapai Bottle Gas, Coors Light, and Bucky's Casino. This event draws top competitors seeking valuable PBR points and offers fans an up-close experience with professional bull riding. A must-attend for rodeo fans in the high country seeking adrenaline-pumping western entertainment.",,,,617601841_1304075541756564_3054789502823869688_n.jpg,1/25/26,NO
Verde Valley Fair Arena Barrel Racing Series - April 11-12,4/11/26,4/12/26,9:00 AM,Verde Valley Fair Arena,800 E Cherry St,Cottonwood,AZ,86326,Barrel Racing,Series,Saddle Certificates,"Verde Valley Fair Arena Barrel Racing Series 2025-2026 finale weekend. Classes include 5D Open, 4D Youth, 4D Senior, PeeWee (8 & under), and 4D Green Horse/Novice. Arena fee $15/horse, free for VVFA members. Cash only. Saddle certificates in Open Average (best 5 of 7). Year-end prizes 1st-3rd, must run 5 of 7 to qualify.",rodeogo.com,928-202-9001,,646823729_34769213072677221_8200956731601636912_n.jpg,3/6/26,NO
Double Class Training - Horse Care & Human CPR - April 11,4/11/26,4/11/26,9:00 AM,Dreamcatcher Healing Ranch,6095 E Fleming Springs Rd,Cave Creek,AZ,85331,Clinic,Educational,$89-$139,"Double class with Teri Ann Tate of AZ Equine First Aid & Hearts & Wounds. Morning session covers essentials of horse care emergencies. Afternoon session covers human CPR, AED, and first aid. Hands-on training. Horse Care $89, Human CPR $65, or both for $139. Call 602-753-6734 to register.",heartsandwounds.com,602-753-6734,,647038798_10236780239638731_4315357235294529344_n.jpg,3/6/26,NO
Huachuca Saddle Club Gymkhana Series 1 - April 11,4/11/26,4/11/26,9:00 AM,The Outlaw Arena,8191 E Barataria Blvd,Hereford,AZ,,Gymkhana,Series,,"Huachuca Saddle Club Gymkhana Series at The Outlaw Arena in Hereford. Barrels, poles, and two additional classes across six age divisions from lead line to 40 & over. Adult $9/class, Youth $8/class, or $40 flat for members. Must ride 3 of 4 dates to qualify for awards.",www.huachucasaddleclub.org,,,648169613_1365239612308006_1096723864128117341_n.jpg,3/6/26,NO
ADA Schooling Show Series (CARA) - Sherlin Consulting Group Sponsor,4/12/26,4/12/26,,Central Arizona Riding Academy (CARA),41656 N Rattlesnake Rd,San Tan Valley,AZ,85140,Dressage,Schooling Show,,ADA's one-day schooling show at Central Arizona Riding Academy features USDF dressage tests (plus WDAA options) in a supportive format that's ideal for building confidence and show experience. Expect a well-run day with judge feedback and a friendly atmosphere for riders moving up levels or introducing young horses.,https://azdressage.org/event/ada-schooling-show-series-sponsored-by-sherlin-consulting-group-2/,(480) 580-0634,,,1/26/26,NO
Region 7 Arabian /HA/AA Championship Horse Show,4/14/26,4/19/26,6:45 AM,WestWorld of Scottsdale,16601 N Pima Rd,Scottsdale,AZ,,Arabian Horse Show,Championship,,"Region 7 Arabian Horse Association Regional Championships at WestWorld of Scottsdale. Six-day event with pre show April 14-15 and championships April 16-19. One of the premier Arabian, Half-Arabian, and Anglo-Arabian horse shows in the Southwest. Details at aharegion7.org.",https://aharegion7.org,,,Screenshot_2026-03-06_at_8_31_24_AM.png,3/6/26,NO
